case_name,teacher_type,baryon_profile_type,teacher_params,best_model_by_bic,mse_baryon,mse_tdf_simple,mse_tdf_core,mse_nfw,bic_baryon,bic_tdf_simple,bic_tdf_core,bic_nfw,tdf_simple_relative_error_percent,tdf_core_relative_error_percent,nfw_relative_error_percent,core_advantage_flag,warnings,dataset_mode,is_real_observational_data,tdf_core_beats_nfw_in_cored
nfw_mild_cusp,cuspy,saturating_disk,"{""Vh2"": 4000.0, ""rs"": 3.0}",nfw_simple,44.31620763858091,1.7537559320281495,2.1376496505640645,1.1302933805965116,390.0815343517913,22.23154989663146,28.777401022852047,19.057240357391525,1.1113926475217726,1.2790256230787926,0.2795514332777888,False,NFW refit tracks cuspy teacher better than TDF simple by BIC.,core_cusp_stress_test,False,
nfw_strong_cusp,cuspy,saturating_disk,"{""Vh2"": 8000.0, ""rs"": 0.8}",nfw_simple,182.97457420662005,7.868959784660693,6.822213098507692,1.1387485073881836,2133.568853416123,94.87267496184423,81.91132142646448,21.48256810495108,4.705159316981467,4.262651352548162,0.2971616431173384,True,NFW refit tracks cuspy teacher better than TDF simple by BIC.,core_cusp_stress_test,False,
nfw_concentrated_inner,cuspy,compact_bulge_disk,"{""Vh2"": 12000.0, ""rs"": 1.2}",nfw_simple,177.301296714029,8.891558266226927,6.877961654332495,1.575560387675166,821.891694248617,48.41332323276109,37.621806663990654,13.756069175474448,2.7306794231314964,2.288183182260862,0.05172875733796917,True,NFW refit tracks cuspy teacher better than TDF simple by BIC.,core_cusp_stress_test,False,
nfw_extended_outer,cuspy,exponential_like,"{""Vh2"": 6000.0, ""rs"": 12.0}",tdf_simple,67.65749688323905,2.327478332844197,3.6470188950989497,2.4928437878770047,505.2158518011532,24.375279464820945,40.07341832702357,25.80809832988262,0.6556488184204533,1.665181959030377,0.620700360700557,False,,core_cusp_stress_test,False,
core_small_rc,cored,saturating_disk,"{""Vc2"": 3500.0, ""rc"": 0.8}",cored_proxy,758.2278607803568,9.753363471756407,1.2564902307593733,4.602575118610564,4345.781869443213,93.64331684042993,14.335761185185202,56.90835102485331,3.0502206977930806,0.2697391385289119,2.2000610179723825,True,TDF simple worse than TDF core vs cored teacher (expected in core regime).,core_cusp_stress_test,False,True
core_large_rc,cored,saturating_disk,"{""Vc2"": 5000.0, ""rc"": 4.0}",tdf_core,724.9075471223899,6.33206399242298,0.7821198119972019,4.726281336507439,3123.449633318941,51.45795942829209,11.167634598259951,44.329666684329226,3.154956753859306,0.06356478264693645,2.7801308407840932,True,TDF simple worse than TDF core vs cored teacher (expected in core regime).,core_cusp_stress_test,False,True
core_lsb_like,cored,exponential_like,"{""Vc2"": 2800.0, ""rc"": 2.5}",cored_proxy,759.2064377595067,10.93268488119253,1.5070871401713055,7.974830701241887,7625.307215150676,158.76187886223596,22.563046560473847,127.06064036822188,7.7182700699097815,1.0393349649853156,6.760792789563452,True,TDF simple worse than TDF core vs cored teacher (expected in core regime).,core_cusp_stress_test,False,True
core_diffuse_dwarf,cored,exponential_like,"{""Vc2"": 1500.0, ""rc"": 1.5}",tdf_core,421.46431033171706,5.671835042401432,1.203270860710501,4.2216544379600744,6695.773849716148,117.74803393949246,25.171849684627006,92.94411628622947,7.811632634143101,1.5568739508789227,6.888124181161155,True,TDF simple worse than TDF core vs cored teacher (expected in core regime).,core_cusp_stress_test,False,True
